input_text,target_text
"excitement to admiration: At the 23rd Japan Gold Disc Awards, Madonna received her fifth Artist of the Year trophy from Recording Industry Association of Japan, the most for any artist.","The Recording Industry Association of Japan bestowed Madonna with her fifth Artist of the Year award at the 23rd Japan Gold Disc Awards, making her the artist with the most wins in the category."
"disappointment to disapproval: The League tried to enforce economic sanctions upon Italy, but to no avail.",The League's attempt to impose economic sanctions on Italy was ineffective.
"sadness to disappointment: Seattle was mildly prosperous in the 1920s but was particularly hard hit in the Great Depression, experiencing some of the country's harshest labor strife in that era.","Seattle enjoyed a degree of prosperity in the 1920s, but it was severely affected by the Great Depression, which resulted in some of the most severe labor conflicts in the nation at that time."
"disappointment to disapproval: As a result, the writing in these fields often lacks a literary quality, although it often(and in its better moments)has that quality.","The writing in these fields is frequently deficient in a literary quality, although it can have it in its superior instances."
admiration to approval: These products of extraordinary craftmanship were intended for private devotion.,The purpose of these exquisitely crafted products was for private devotion.
"disappointment to disapproval: Amongst those who declare a religious affiliation, church attendance is low.",Individuals who identify with a religion have a low attendance rate at church.
"sadness to disappointment: So, while the struggle to end child labour is necessary, getting there often requires taking different routes—and, sadly, there are many political obstacles.","Although ending child labour is crucial, achieving it may necessitate taking various approaches, and unfortunately, there are numerous political obstacles."
"admiration to approval: The most important aspect of beauty was therefore an inherent part of an object, rather than something applied superficially; and was based on universal, recognisable truths.","The primary factor of beauty was an intrinsic property of an object, not a superficial coating, and was rooted in universally recognizable truths."
"approval to confusion: The majority of experts agree that the earliest pre-modern human migration via Beringia took place at least 13,500 years ago, with disputed evidence that people had migrated into the Americas much earlier, up to 40,000 years ago.","Most scholars agree that the earliest pre-modern human migration through Beringia happened no less than 13,500 years ago, but there is conflicting evidence that humans had migrated into the Americas much earlier, up to 40,000 years ago."
admiration to surprise: It's actually one of the most broadminded places I’ve ever been.,I've never encountered a more inclusive place than this.
"fear to nervousness: While parents never had to worry about the threats of social media in the past, it has become a dangerous place for children.","While social media was not a concern for parents in the past, it has now become a perilous place for children, causing worry."
"admiration to approval: It was the largest suburban shopping center in the world, and quickly became the main shopping destination for northern and western Detroit, and for much of the suburbs.","The world's largest suburban shopping center, it became the main shopping attraction for northern and western Detroit, and a significant portion of the suburbs in no time."
"approval to disappointment: In Asia, the defeat of Japan led to its democratization.",The democratization of Japan was a consequence of its defeat in Asia.
"realization to fear: After the First World War, however, it became apparent that the number of mixed-race people was growing at a faster rate than the white population, and by 1930 fear of the ""half-caste menace"" undermining the White Australia ideal from within was being taken as a serious concern.","By 1930, the fear of the ""half-caste menace"" undermining the White Australia ideal from within had become a serious concern due to the faster growth rate of mixed-race individuals compared to the white population after the First World War."
sadness to disappointment: The agricultural policy favoring grain production at the expense of industrial and cash crops intensified economic hardships in the province.,The agricultural policy that gave priority to grain production over industrial and cash crops intensified the province's economic hardships.
admiration to approval: Their discoveries strengthened the economy and power of European nations.,Their discoveries contributed to the strengthening of the economy and power of European nations.
sadness to disappointment: Tens of thousands of taxpaying citizens were without representation for decades into the 20th century.,"For many years into the 20th century, tens of thousands of taxpayers had no representation."
approval to realization: This increase in the importance of agriculture was attributable to food security needs of the population in the face of uncertainty during the first phases of transition and the collapse of the non-agricultural sectors of the economy in the early 1990s.,The growth in significance of agriculture was due to the need for food security during the uncertain initial stages of transition and the collapse of non-agricultural sectors of the economy in the early 1990s.
admiration to approval: It serves as a US presence that demonstrates resolve and compassion in humanitarian crisis.,It acts as a US presence that demonstrates both determination and compassion in addressing humanitarian crises.
"admiration to approval: Combined with a late economic development in many regions, this relatively peaceful history has allowed Canadian Indigenous peoples to have a fairly strong influence on the early national culture while preserving their own identity.","The relatively peaceful history of Canada, combined with a slow economic development in various regions, has allowed Indigenous communities to preserve their unique identity while exerting a strong influence on the country's early national culture."
"disgust to fear: At one of the very worst sites, around Sandakan in Borneo, only six of some 2,500 British and Australian prisoners survived.","One of the most terrible sites in Borneo, near Sandakan, saw only six of the 2,500 British and Australian prisoners survive."
"admiration to love: Although the two displayed great respect and admiration for each other, their friendship was uneasy and had some qualities of a love-hate relationship.","Despite their mutual admiration and respect, their friendship was uneasy and had some qualities of a love-hate dynamic."
"pride to joy: I don't deny it; in fact, I am proud of it.","I confess it, and I am happy about it."
"admiration to approval: This was reinforced by an appreciation, following the trend in sociological thought, of the manner in which the individual is affected by and contributes to the overall social context.",The sociological thought trend reinforced the recognition of how the individual is influenced by and contributes to the larger social context.
"approval to desire: With the safe completion of the Apollo 11 mission, the Americans won the race to the Moon.",The Americans achieved their goal of winning the race to the Moon by safely completing the Apollo 11 mission.
"excitement to joy: Nine months after their Community Shield triumph, Arsenal appeared in the FA Cup final for the second year in a row, thrashing Aston Villa 4–0 in the final and becoming the most successful club in the tournament's history with 12 titles.","Arsenal's victory over Aston Villa in the FA Cup final, with a score of 4-0, gave them their 12th title in the tournament, making them the most successful club in its history, nine months after their Community Shield triumph."
"sadness to disappointment: Many of the endemic species and subspecies have become extinct as a result of massive clearance of the island's native vegetation of subtropical rainforest for agriculture, hunting and persecution as agricultural pests.","The clearance of the island's subtropical rainforest for agriculture, hunting, and persecution as agricultural pests has led to the extinction of a considerable number of endemic species and subspecies."
"disappointment to disapproval: Scientific works of Aristotle, Copernicus, and Newton still exhibit great value, but since the science in them has largely become outdated, they no longer serve for scientific instruction.","The scientific works of Aristotle, Copernicus, and Newton are still valuable, but they are no longer effective for scientific instruction due to their outdated scientific principles."
"sadness to disappointment: According to protesters, load shedding was depriving the cities of electricity 20–22 hours a day, causing businesses to go bust and making living extremely hard.","According to the protesters, the cities were experiencing electricity deprivation for 20-22 hours a day due to load shedding, which was causing businesses to go bankrupt and making living conditions extremely difficult."
admiration to approval: The faith represents about a third of the world's population and is the largest religion in the world.,"The faith is the largest religion globally, with approximately one-third of the world's population practicing it."
"excitement to surprise: On 1 February, the United Arab Republic (UAR) was proclaimed and, according to Dawisha, the Arab world reacted in ""stunned amazement, which quickly turned into uncontrolled euphoria.""","The announcement of the UAR on 1 February left the Arab world in a state of shock, but this quickly transformed into uncontrolled euphoria, as per Dawisha."
"disappointment to disapproval: Attempts by landowners to forcibly reduce wages, such as the English 1351 Statute of Laborers, were doomed to fail.","Landowners' attempts to lower wages through coercion, like the English 1351 Statute of Laborers, were destined to be unsuccessful."
"admiration to approval: Ashkenazi Jews have a noted history of achievement in Western societies in the fields of exact and social sciences, literature, finance, politics, media, and others.","Ashkenazi Jews have made significant contributions to various fields, including exact and social sciences, literature, finance, politics, media, and others, in Western societies."
admiration to approval: Association football is the country's most popular and most televised franchised sport.,"The most popular and franchised sport in the country is association football, which is also the most televised."
"joy to approval: At her Silver Jubilee in 1977, the crowds and celebrations were genuinely enthusiastic, but in the 1980s, public criticism of the royal family increased, as the personal and working lives of Elizabeth's children came under media scrutiny.","The public's enthusiasm during Elizabeth's Silver Jubilee in 1977 was genuine, but in the 1980s, the royal family faced mounting public criticism as the media scrutinized the personal and professional lives of her children."
"approval to caring: Infections can be prevented by antiseptic measures such as sterilizing the skin prior to piercing it with the needle of a syringe, and by proper care of indwelling catheters.","The prevention of infections can be accomplished by taking antiseptic measures, such as sterilizing the skin before piercing it with a needle, and properly caring for indwelling catheters."
"joy to admiration: In 2009, Barcelona became the first Spanish club to win the continental treble consisting of La Liga, Copa del Rey, and the UEFA Champions League, and also became the first football club to win six out of six competitions in a single year, completing the sextuple in also winning the Spanish Super Cup, UEFA Super Cup and FIFA Club World Cup.","Barcelona's 2009 season was a remarkable one, as they achieved the continental treble of La Liga, Copa del Rey, and the UEFA Champions League, and also won six out of six competitions in a single year, completing the sextuple by winning the Spanish Super Cup, UEFA Super Cup, and FIFA Club World Cup, a feat that had never been accomplished before."
"joy to approval: In 2009, Barcelona became the first club in Spain to win the treble consisting of La Liga, Copa del Rey, and the Champions League.","The treble of La Liga, Copa del Rey, and the Champions League was won by Barcelona in 2009, making them the first Spanish club to achieve this feat."
"sadness to disappointment: Recently, its economic status has been affected by the global recession.",The global recession has had a detrimental effect on the economic status of the area in recent times.
"admiration to disappointment: Although the film received negative reviews from critics, the movie did well at the US box office, grossing $68 million—$60 million more than Cadillac Records—on a budget of $20 million.","The movie may have been criticized by reviewers, but it still managed to perform well at the US box office, grossing $68 million, which was $60 million more than Cadillac Records, despite having a budget of only $20 million."
"admiration to approval: The album has been credited with widening the audiences for the genre, particularly by appealing to women as well as the traditional male dominated audience, and opening the door to MTV and commercial success for other bands at the end of the decade.","The album is acknowledged for expanding the genre's reach, particularly among women, and creating opportunities for other bands to achieve commercial success and MTV exposure in the late 80s."
gratitude to approval: Boston's literary culture continues today thanks to the city's many universities and the Boston Book Festival.,The Boston Book Festival and the city's many universities have played a significant role in maintaining Boston's literary culture.
realization to nervousness: Britain's fears of war with Germany were realised in 1914 with the outbreak of the First World War.,The First World War's commencement in 1914 materialized Britain's anxieties about a conflict with Germany.
"admiration to approval: Musically, A Day at the Races was by both fans' and critics' standards a strong effort, reaching number one in the UK and Japan, and number five in the US.","Both fans and critics agreed that A Day at the Races was a strong musical effort, as evidenced by its top rankings in the UK and Japan, and number five in the US."
admiration to approval: The Ulm Campaign is generally regarded as a strategic masterpiece and was influential in the development of the Schlieffen Plan in the late 19th century.,The Ulm Campaign is generally accepted as a strategic triumph and had a profound influence on the development of the Schlieffen Plan in the late 1800s.
"surprise to disappointment: More than 13,000 civilians had been killed, and almost 20,000 injured, in September and October alone, but the death toll was much less than expected.","The death toll in September and October was lower than expected, despite the fact that more than 13,000 civilians were killed and almost 20,000 were injured."
"admiration to approval: This effort achieved a measure of success, with increased agricultural production and investment in industrialization.","This endeavor achieved a certain level of success, with agricultural production and industrial investment seeing an uptick."
"fear to nervousness: By the turn of the 20th century, fears had begun to grow in Britain that it would no longer be able to defend the metropole and the entirety of the empire while at the same time maintaining the policy of ""splendid isolation"".","By the turn of the 20th century, Britain was becoming anxious that it would be unable to protect both the metropole and the entire empire while adhering to the ""splendid isolation"" policy."
"admiration to surprise: It's amazing that something so small can do so much"".",It's astonishing how much can be achieved by something so small in size.
excitement to joy: The celebration originally involved dressing in costumes and holding masked balls or visiting friends.,"Initially, the celebration consisted of dressing in costumes and holding masked balls or visiting friends."
joy to approval: Carthage was Palermo’s major trading partner under the Phoenicians and the city enjoyed a prolonged peace during this period.,"Under the Phoenician rule, Carthage played a crucial role as Palermo's primary trading partner, leading to a prolonged period of peace in the city."
"sadness to disappointment: Since the 1979 Revolution, the persecution of Bahais has increased with executions, the denial of civil rights and liberties, and the denial of access to higher education and employment.","The 1979 Revolution has resulted in heightened persecution of Bahais, with executions, denial of civil rights and liberties, and restricted access to higher education and employment."
"admiration to approval: This period has been called the Golden Age of India and was marked by extensive achievements in science, technology, engineering, art, dialectic, literature, logic, mathematics, astronomy, religion, and philosophy that crystallized the elements of what is generally known as Hindu culture.","The period known as the Golden Age of India was marked by significant advancements in various fields, including science, technology, engineering, art, dialectic, literature, logic, mathematics, astronomy, religion, and philosophy, which contributed to the development of Hindu culture."
"approval to realization: By this time, house music released by Chicago-based labels was considered a must-play in clubs.","By this time, clubs had recognized the importance of playing house music released by Chicago-based labels."
joy to realization: Coffeehouses represent a turning point in history during which people discovered that they could have enjoyable social lives within their communities.,Coffeehouses signified a momentous turning point in history when individuals recognized the potential for pleasurable social experiences within their localities.
admiration to approval: This unique culture served as a catalyst for journalism when Joseph Addison and Richard Steele recognized its potential as an audience.,"The potential of this unique culture as an audience was recognized by Joseph Addison and Richard Steele, which led to the emergence of journalism."
admiration to approval: His later direct intervention in Church affairs proved a political masterstroke.,His subsequent direct meddling in Church affairs was a politically savvy move.
"annoyance to disappointment: Fraud is a problem in many fields, but is notoriously prevalent in the construction field.","The construction field is infamous for its high rate of fraud, although it is a problem in numerous other sectors."
"fear to disappointment: These various manifestations of corruption can ultimately present a danger for the public health; they can discredit specific, essential institutions or social relationships.","The multiple manifestations of corruption can ultimately threaten public health and undermine specific, crucial institutions or social relationships."
"confusion to disappointment: Although energy conservation remains an important goal, energy usage patterns have greatly changed since then, and recent research is limited and reports contradictory results.","Despite the ongoing importance of energy conservation, energy consumption patterns have undergone significant changes, and recent research is limited and yields inconsistent results."
"admiration to love: Mabel was a bright, attractive girl who was ten years Bell's junior, but became the object of his affection.","Mabel, a smart and charming girl who was a decade younger than Bell, became the focus of his affection."
approval to caring: Hydroelectric development in most rivers has been a serious concern for local conservationists during the last decades.,"Over the past few decades, local conservationists have been seriously concerned about the hydroelectric development of most rivers."
"admiration to approval: Despite its tropical wet and dry climate, extensive irrigation makes it a rich agricultural region.","The region's agricultural prosperity is a result of its extensive irrigation, which has enabled it to thrive despite its tropical wet and dry climate."
"gratitude to joy: Despite the failures in Egypt, Napoleon returned to a hero's welcome.",Napoleon's return was celebrated with a hero's welcome despite his setbacks in Egypt.
"admiration to approval: Despite these crises, the 14th century was also a time of great progress in the arts and sciences.","The arts and sciences flourished in the 14th century, despite the presence of various crises."
admiration to approval: It was a valuable blunder ...,The mistake had a profitable consequence.
"sadness to disappointment: Due to industrial restructuring and loss of jobs in the auto industry, Detroit lost considerable population from the late 20th century to present.",The auto industry's industrial restructuring and job losses caused Detroit to experience a considerable population decline from the late 20th century to present.
"disgust to disapproval: The Queen hated being pregnant, viewed breast-feeding with disgust, and thought newborn babies were ugly.","The Queen had a strong aversion to pregnancy, found breastfeeding repugnant, and thought newborns were unattractive."
"confusion to disappointment: I don’t know how being told you have money is an insult.""",I am at a loss as to why being informed of your financial prosperity is seen as an insult.
"amusement to joy: They were all incredibly funny ... and I saw myself in them ... my girlishness, my knowingness and my innocence.""","I was thoroughly entertained by their humor, and I recognized elements of myself in their girlishness, shrewdness, and unspoiled nature."
"optimism to disappointment: After the box office bomb Swept Away (2002), Madonna vowed that she would never again act in a film, hoping her repertoire as a bad actress would never be discussed again.","Following the box office disappointment of Swept Away (2002), Madonna swore off acting in films, hoping to avoid any future conversations about her poor acting skills."
"sadness to disappointment: During the 1930s, parts of the state began suffering the consequences of poor farming practices, extended drought and high winds.","Certain regions of the state suffered the consequences of poor farming practices, extended drought, and high winds during the 1930s."
admiration to approval: I'm all for exposing children to wonderful cultural experiences.,I am all in favor of giving children the opportunity to experience wonderful cultures.
"disappointment to disapproval: It turned out there was no chance of a piloted Soviet circumlunar flight during 1968, due to the unreliability of the Zonds.",A piloted Soviet circumlunar flight in 1968 was not feasible because of the Zonds' unreliability.
