question1,question2
"curiosity to confusion: When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?","When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?"
"confusion to curiosity: What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?","Who is affected more by a breakup, the boy or the girl?"
sadness to curiosity: Nd she is always sad?,Nd she is always sad?
curiosity to admiration: What is the best/most memorable thing you've ever eaten and why?,What is the best/most memorable thing you've ever eaten and why?
curiosity to confusion: How GST affects the CAs and tax officers?,How GST affects the CAs and tax officers?
realization to curiosity: I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?
confusion to curiosity: Where can I find a European family office database?,Where do I find a U.S. family office database?
admiration to curiosity: What is the best book ever made?,What is the most important book you have ever read?
confusion to curiosity: Which one is better polo diesel or grand i10 petrol?,What is the best diet for a growing decathlete?
fear to curiosity: How can I stop being afraid of working?,How can I stop being afraid of working?
"confusion to curiosity: If I do not monetize YouTube videos & upload copyright content, then are there chances that Google may block my account?",How do you upload movies on YouTube and monetize them? Is there any issue of copyright
curiosity to amusement: What is the funniest joke you know?,What is the funniest joke you know?
love to curiosity: How can I stop being addicted to love?,How do I stop being addicted to someone?
curiosity to love: How can I stop being so possessive?,How can I stop being so possessive?
curiosity to amusement: How many Champions are there in League of Legends?,How many Champions are there in League of Legends?
curiosity to confusion: How can you recover your Gmail password?,How can you recover your Gmail password?
love to curiosity: How do I love my body as a guy?,"How can I make my whole body more fair, if I am a wheatish Indian guy?"
love to curiosity: How far would you go for love? Should I wait for the one I love ir move on?,"As a thirteen year old, what is the best thing I can do for my health?"
curiosity to love: How do I get over a friend with whom I haven't talked in 3 years but still miss him?,How do I get over a friend with whom I haven't talked in 3 years but still miss him?
fear to curiosity: How do you deal with a fear of dying?,How do you deal with a fear of dying?
confusion to curiosity: How should I start small business effectively?,How should I start a small business in construction?
curiosity to admiration: What are the most interesting foods you have eaten in any country?,What are the most interesting foods you have eaten in any country?
curiosity to fear: Why does ISRO not use friction stir welding technology?,Should a guy re-evaluate his current relationship and feelings if he's worried about temptation hanging out with a girl that he was friends with?
desire to curiosity: I wish to simulate a fake location for an app running on my iOS device. How do you fake a GPS location for iOS without jailbreaking as a non-coder?,How can I fake my iPhone location without jailbreaking?
confusion to curiosity: Should I learn AngularJS 1.5 instead of AngularJS 2 if I don't know TypeScript?,Which should I start with: Angular 2 or AngularJS 1?
curiosity to admiration: What is considered an illegal screen in the NBA?,What is considered an illegal screen in the NBA?
curiosity to excitement: Nothing excites me anymore. How do I regain that excitement?,Nothing excites me anymore. How do I regain that excitement?
"curiosity to love: What does the phrase ""He who does not love abides in death"" exactly mean?","What does the phrase ""He who does not love abides in death"" exactly mean?"
curiosity to fear: How could I become a fighter pilot when I have less than the required eyesight?,I have terrible eyesight. Can I still become a fighter pilot in the Air Force?
"curiosity to admiration: What makes a programmer ""good?""","What makes a programmer ""good?"""
confusion to curiosity: Why do I get punished by Quora moderators when I put Israel and Judaism in a negative light?,How do I excel in computer sciece & programing without wasting four years in CS degree in Indian engineering college?
confusion to curiosity: What would be today’s technology had we never realized the value of binary numbers and harnessed it to produce digital technology?,Would the world be less technologically advanced if the two world wars had never occurred?
approval to curiosity: Mobile Number Portability finally will start on May 3. Do network providers really agree to this?,"Mobile number portability finally will start on May 3rd, including changing circles. Have network providers really agreed to this?"
curiosity to anger: Why do people hate twilight saga?,Why do people hate Twilight so much?
admiration to curiosity: What makes a great cup of coffee great?,What makes a perfect cup of coffee?
curiosity to admiration: How does a new website protect its design and user interface from copycats?,How does a new website protect its design and user interface from copycats?
curiosity to confusion: Why we don't feel sympathy towards everyone?,Why we don't feel sympathy towards everyone?
curiosity to confusion: Is senior residency at Hindu Rao Hospital teaching experience?,Is senior residency at Hindu Rao Hospital teaching experience?
curiosity to confusion: What are the most important things for living a good life?,What are the most important things for living a good life?
"admiration to curiosity: Which were some of the most amazing responses you have got with Cortana, Siri or Amazon Echo?",What are some of the most amazing concepts given by theoretical physicists which cannot be proved in reality or are too advanced to prove with available resources/technologies?
curiosity to love: How do I know if the girl am dating online truly live me for real?,How do I know if the girl am dating online truly live me for real?
curiosity to admiration: Is graph theory counted as a prerequisite for machine learning?,Is graph theory counted as a prerequisite for machine learning?
love to curiosity: How do I make a girl who is a newly joined junior in my college to fall in love with me?,What do you have to do to become an airline pilot?
"annoyance to curiosity: What's the meaning of ""I gotta take a shit!""?","What's the meaning of ""I gotta take a shit!""?"
confusion to curiosity: I missed the IIT. What should I do?,"When should I expect my joining date for Accenture, The timeline shows its 24 dec 2016 and I havent recieved any updates from the Organisation?"
curiosity to love: My crush likes me back; what do we do now?,My crush likes me back; what do we do now?
fear to curiosity: How do I get over the fear of everything?,How do I get over the fear of everything?
curiosity to desire: What are the best films that take place in one room?,What are the best films that take place in one room?
curiosity to confusion: My girlfriend has stopped talking to me. What should I do?,My girlfriend has stopped talking to me. What should I do?
confusion to curiosity: I trust people very quickly and as a result always have been betrayed? What do I do not to trust people and still hold the relation simple?,Do you think trusting other people is wise enough after being betrayed by someone else?
admiration to curiosity: What are some really good and famous romantic comedy movies?,What are the best romantic comedy movies?
curiosity to love: What is your review of Love in Thoughts (2004 movie)?,What is your review of Love in Thoughts (2004 movie)?
curiosity to annoyance: Life can be boring. What to do?,My life is boring. What can I do?
curiosity to sadness: I am a straight A student but have no motivation or will whatsoever to go to school. Can someone help me fight this?,"My fiancée died recently and it pains my heart, how do I learn to cope with this?"
"curiosity to confusion: Is there some way to identify genuine JBL speakers, as fake JBL speakers are also sold in market?","Is there some way to identify genuine JBL speakers, as fake JBL speakers are also sold in market?"
"fear to curiosity: I took some moocs before college and now I feel like college is horrid, what do I do?","I took some moocs before college and now I feel like college is horrid, what do I do?"
curiosity to anger: Is scientology a fraud?,Is Scientology bullshit?
