question1,question2
"confusion to curiosity: When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?","When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?"
confusion to curiosity: Can a poor person get a good job?,Can a poor person get a good job?
curiosity to surprise: How do you calculate the percentage change between 2 percentages?,What's a statistic that many people would be surprised by?
confusion to curiosity: How good is the Madras School of Economics for pursuing a post-graduate degree in general eco-financial eco-applied quantitative finance?,How good is the Madras School of Economics for pursuing a post-graduate degree in general eco-financial eco-applied quantitative finance?
"confusion to curiosity: Do anyone know about the Lenovo Ideapad 500S laptop? How is it? I want to buy this laptop but I am confused which laptop should I buy, HP or Lenovo.",How is Lenovo Ideapad 500s(14) laptop?
confusion to curiosity: Is it true that Moses saw God write the 10 Commandments on a mountaintop?,Is it true that Moses saw God write the 10 Commandments on a mountaintop?
"confusion to curiosity: Pls tell me in detail, how this thing actually works in java.Unicode is 16 bit character set, but then how int type of 32 bit works? Im confused?",How do I make my own data type in integer which is stored 128 bytes?
"confusion to curiosity: What is the frequency that creates pain when heard by dogs, but cannot be perceived by humans?","What is the frequency that creates pain when heard by dogs, but cannot be perceived by humans?"
confusion to curiosity: Where can I find subtitles for Daylight's End?,Where can I find subtitles for Daylight's End?
confusion to curiosity: How hard is it to get an software engineer in Test job at linkedin?,How hard is it to get an software engineer in Test job at linkedin?
confusion to curiosity: Why are many historians and people to this day still confused on whether or not the National Socialists were Socialist or Fascist?,What are the five most socialist nations in today's world?
curiosity to surprise: Which are the sexiest job of a man according to girls?,What was Ser Davos so surprised at when he saw Jon Snow's blood in the ice when he was murdered by Alliser & Co?
confusion to curiosity: How good is economics as an optional subject in UPSC? Should non-economics student with a brief background and interest opt for it?,How good is economics as an optional subject in UPSC? Should non-economics student with a brief background and interest opt for it?
confusion to curiosity: How do I convert a decimal number to 32- bit hex?,How do I convert a decimal number to 32- bit hex?
confusion to curiosity: What are some best IAS coaching institute in Delhi and what is fee structure of those institutes?,What are some best IAS coaching institute in Delhi and what is fee structure of those institutes?
confusion to curiosity: I'm not sure if I'm bisexual or pansexual. How do I know?,How do you know if you are bisexual?
"confusion to curiosity: What would it feel like to be very far out in the middle of the ocean, at night, without a boat?","What would it feel like to be very far out in the middle of the ocean, at night, without a boat?"
confusion to curiosity: I want to buy a new laptop. I am confused between Dell and HP though the configuration is same and the price is almost the same. Which company should be prefered and why?,Which is best HP or Dell laptop?
confusion to curiosity: I am looking for gigolos online since it is difficult to find hot guy. What website has gigolos? Can I choose one by appearance and penis size?,I am looking for gigolos online since it is difficult to find hot guy. What website has gigolos? Can I choose one by appearance and penis size?
"confusion to curiosity: Where can we buy Fuzzy animal slippers, for women, in Hyderabad?","Where can we buy Fuzzy animal slippers, for women, in Hyderabad?"
confusion to curiosity: Separated from my wife but I only hear from her on her terms. Doesn't respond to my ideas. Confused?,How can I filter an EEG signal?
confusion to curiosity: What does the ending of the Phantom of the Opera mean? Is anyone else confused?,Why does the Phantom let Christine go in the end of Phantom of the Opera?
confusion to curiosity: What are examples of skills people write on their resume?,What are examples of skills people write on their resume?
confusion to curiosity: What is the difference between Docker and Vagrant? When should you use each one?,What is the difference between Docker and Vagrant? When should you use each one?
confusion to curiosity: I don't know my PF account number. How could I get my UAN number? How could I find my UAN number without a PF number?,How do I check my UAN number?
confusion to curiosity: I don't have money how can I publish my book can someone invest on my book?,Urgent need of room or PG near genpact India Gurgaon sector 53 dlf phase 5? Please help?
curiosity to surprise: What is the importance of the play The Government Inspector in today's Russia?,What surprised you the most during your visit to Russia?
"confusion to curiosity: How would you explain the plot of Game of Thrones in brief, from the beginning?","How would you explain the plot of Game of Thrones in brief, from the beginning?"
"confusion to curiosity: Pls tell me in detail, how this thing actually works in java.Unicode is 16 bit character set, but then how int type of 32 bit works? Im confused?",How it is possible for pointer to store address of more than 2 bytes?
confusion to curiosity: What is trick used in Nadi Astrology?,What is trick used in Nadi Astrology?
confusion to curiosity: What is the domain and range for straight lines?,What is the domain and range for straight lines?
confusion to curiosity: How do you find a job you are good at?,How do you find a job you are good at?
"confusion to curiosity: I am 22 want to learn about investing in stock market, so from where do I start?","I am 22 want to learn about investing in stock market, so from where do I start?"
confusion to curiosity: What is the explanation for the ending of the movie Before We Go?,What is the explanation for the ending of the movie Before We Go?
curiosity to surprise: What is the last thing someone did that surprised you and made you feel alive?,What is the last thing someone did that surprised you and made you feel alive?
fear to sadness: I am a computer science undergraduate. I got the following GRE scores Q:163 V:168. I am afraid my quant score is not good enough. Should I reappear?,Why do I feel so extremely sad when looking at tiny Earth from Mars?
confusion to curiosity: Why should I use or not use UML?,What is UML used for?
confusion to curiosity: I am not getting feeling with my wife?,What are the practical applications of Einstein's field equations of GR?
confusion to curiosity: How will eCommerce industry change its way in 2017?,How will eCommerce industry change its way in 2017?
confusion to curiosity: What will be my future if I take Bsc Geology?,What will be my future if I take Bsc Geology?
